auth,full_auth
D Lewis,David Lewis
HG Frankfurt,Harry G. Frankfurt
ES Anderson,Elizabeth S. Anderson
A Baker,Alan Baker
R Boyd,Richard Boyd
R Chang,Ruth Chang
A Clark,Andy Clark
D Chalmers,David J. Chalmers
J D'Arms,Justin D'Arms
D Jacobson,Dan Jacobson
SL Darwall,Stephen L. Darwall
K DeRose,Keith DeRose
H Douglas,Heather Douglas
R Feldman,Richard Feldman
E Conee,Earl Conee
AI Goldman,Alvin I. Goldman
S Haslanger,Sally Haslanger
P Hieronymi,Pamela Hieronymi
F Jackson,Frank Jackson
K Jones,Karen Jones
JM Joyce,James M. Joyce
T Kelly,Thomas Kelly
P Kitcher,Philip Kitcher
S Kripke,Saul Kripke
R Langton,Rae Langton
T Nagel,Thomas Nagel
P Machamer,Peter Machamer
L Darden,Lindley Darden
C Craver,Carl F. Craver
G Priest,Graham Priest
J Pryor,James Pryor
P Singer,Peter Singer
AM Smith,Angela M. Smith
S Yablo,Stephen Yablo
A Baier, Annette Baier
N Block and R Stalnaker,Ned Block and Robert Stalnaker
PA Boghossian,Paul A. Boghossian
PA Boghossian and JD Velleman,Paul A. Boghossian and J. David Velleman
A Brueckner,Anthony Brueckner
T Burge,Tyler Burge
MB Burke,Michael B. Burke
N Cartwright,Nancy Cartwright
HN Castañeda,Hector-Neri Castañeda
DJ Chalmers and F Jackson,David J. Chalmers and Frank Jackson
PM Churchland,Paul M. Churchland
A Clark and D Chalmers,Andy Clark and David J. Chalmers
GA Cohen,G. A. Cohen
T Crane and DH Mellor,Tim Crane and DH Mellor
J D'Arms and D Jacobson,Justin D'Arms and Dan Jacobson
N Daniels,Norman Daniels
D Davidson,Donald Davidson
R Feldman and E Conee,Richard Feldman and Earl Conee
B Fitelson,Brandon Fitelson
JA Fodor,Jerry A. Fodor
G Forbes,Graeme Forbes
F Jackson and P Pettit,Frank Jackson and Philip Pettit
N Kolodny,Nico Kolodny
R Langton and D Lewis,Rae Langton and David Lewis
L Laudan,Larry Laudan
K Lehrer and T Paxson,Keith Lehrer and Thomas Paxson Jr.
P Machamer and L Darden and CF Craver,Peter Machamer and Lindley Darden and Carl F. Craver
M Matthen and A Ariew,Mohan Matthen and André Ariew
M McKinsey,Michael McKinsey
RG Millikan,Ruth Garrett Millikan
K Neander,Karen Neander
J Perry,John Perry
D Pitt,David Pitt
H Putnam,Hilary Putnam
WV Quine,W. V. Quine
W Rabinowicz and T Ronnow-Rasmussen,Wlodek Rabinowicz and Toni Rønnow‐Rasmussen
P Railton,Peter Railton
J Rawls,John Rawls
G Rosen,Gideon Rosen
WC Salmon,Wesley C. Salmon
S Schiffer,Stephen Schiffer
JJ Thomson,Judith Jarvis Thomson
M Tye,Michael Tye
DW Zimmerman,Dean W. Zimmerman
DJ Chalmers,David J. Chalmers
JW Kim,Jaegwon Kim
P Pettit,Philip Pettit
DH Mellor,D. H. Mellor
JD Velleman,J. David Velleman
CF Craver,Carl F. Craver
KS Donnellan, Keith S. Donnellan
R Rorty, Richard Rorty
BC van Fraassen, Bas C. van Fraassen
J Kim,Jaegwon Kim
GH Harman,Gilbert Harman
G Harman,Gilbert Harman
PK Feyerabend, Paul K. Feyerabend
JL Mackie,J. L. Mackie
B Ellis,Brian Ellis
P Bowman,Peter Bowman
RM Chisholm,Roderick M. Chisholm
E Sosa,Ernest Sosa
PT Geach,Peter T. Geach
KF Schaffner,Kenneth F. Schaffner
JW Cornman,James W. Cornman
B Skyrms,Brian Skyrms
B Stroud,Barry Stroud
CG Hempel,Carl G. Hempel
T Parsons,Terence Parsons
D Parfit,Derek Parfit
E Zahar,Elie Zahar
NL Wilson,N. L. Wilson
G Watson,Gary Watson
RM Adams,Robert Merrihew Adams
RB Marcus,Ruth Barcan Marcus
PS Churchland,Patricia S. Churchland
N Block,Ned Block
R Dworkin,Ronald Dworkin
D Shapere,Dudley Shapere
A Gupta,Anil Gupta
J Haugeland,John Haugeland
H Kornblith,Hilary Kornblith
E Eells,Ellery Eells
E Sober,Elliot Sober
J Fodor,Jerry Fodor
WP Alston,William P. Alston
J Bigelow,John Bigelow
R Pargetter,Robert Pargetter
J Earman,John Earman
J Norton,John Norton
M Matthen,Mohan Matthen
J Bogen,James Bogen
J Woodward,James Woodward
M Forster,Malcom Forster
PE Griffiths,P. E. Griffiths
RD Gray,R. D. Gray
H Field,Hartry Field
K Falvey,Kevin Falvey
J Owens,Joseph Owens
CB Martin,C. B. Martin
P Pietroski,Paul Pietroski
G Rey,Georges Rey
J Brown,Jessica Brown
N Salmon,Nathan Salmon
A Bird,Alexander Bird
T Sider,Theodore Sider
S Shoemaker,Sydney Shoemaker
T Shogenji,Tomoji Shogenji
C Peacocke,Christopher Peacocke
J Stanley,Jason Stanley
T Williamson,Timothy Williamson
A Elga,Adam Elga
RG Heck,Richard Kimberly Heck
S Glennan,Stuart Glennan
P Rysiew,Patrick Rysiew
J Knobe,Joshua Knobe
DM Walsh,Denis M. Walsh
T Lewens,Tim Lewens
A Ariew,André Ariew
C Travis,Charles Travis
S Cohen,Stewart Cohen
K Fine,Kit Fine
J MacFarlane,John MacFarlane
J Schaffer,Jonathan Schaffer
A Hàjek,Alan Hàjek
N Shah,Nishi Shah
J Fantl,Jeremy Fantl
M McGrath,Matthew McGrath
R Cummins,Robert Cummins
